symbol,total_return,annualized_return,volatility,sharpe_ratio,beta,alpha,correlation,max_drawdown_pct,vs_benchmark,days_analyzed
VNP.TO,203.90811070351614,213.71474210091472,50.03951026402046,4.190983105038587,0.9454901716367545,203.62826746970254,0.37218681808868354,-43.707860184052755,193.7748732414606,245
TD.TO,54.16176983226024,56.08006959413112,16.878200467116738,3.0856411319202577,0.32863273762212086,49.96453748123751,0.3835320865636844,-9.137762445531065,44.02853237020467,245
BMO.TO,35.68001775824969,36.86804379586606,18.236771697513564,1.8022950739876482,0.5338158982929404,29.431670769298023,0.5765813119617209,-16.56948301790445,25.54678029619413,245
BMO,33.84589944871601,34.15841264765127,18.842579626600013,1.6005458512207498,0.5836201027046082,24.477508135035077,0.6074462404847554,-15.940077149299043,20.228095227459676,250
XEQT.TO,14.35650466906866,14.795659905727664,15.49737816820757,0.6966120196947024,0.7326309981008571,6.079439560188557,0.9312023825901096,-15.079873830987786,4.223267207013093,245
FAP.TO,11.795502033394655,12.15222211621012,11.436618058821484,0.7128175544799288,0.2075284005479759,6.816284014384384,0.3574348884281771,-7.407416721910967,1.6622645713390893,245
XEG.TO,11.107619100456589,11.442490274116768,25.87102542456877,0.2876766634479399,0.7653393253319507,2.515714166187438,0.582716621013633,-24.271692133619595,0.9743816384010229,245
SOLQ.TO,10.021575756190826,17.92120922063807,70.37208883875198,0.19782287907548993,2.0551266565785076,-65.70980777904239,0.36991308423715497,-46.44567157957059,-12.878342763580687,146
ETHQ.TO,8.528979140513382,8.783069710358781,75.63634634415376,0.06323771495512599,1.7404037892154616,-6.420561833254054,0.453248627513966,-60.480150486241726,-1.6042583215421846,245
IGBT-UN.TO,5.76763612336999,5.93722495739375,37.295301048504456,0.0519428695554512,0.061939307879633275,1.5384984159727944,0.03271366864209818,-24.5051818223151,-4.365601338685576,245
AW.TO,3.888736354757727,4.002037699589511,23.5577333436032,8.649811761556869e-05,0.31716419654399414,-2.0396671156515027,0.26519642995053544,-21.47497032059803,-6.24450110729784,245
BTCQ.TO,3.2932699439254476,3.388940290104725,42.935779859856986,-0.01423194622037338,0.9064295192723689,-6.4460862808035895,0.41584521095493826,-28.56551018766906,-6.839967518130119,245
XRPQ.TO,-1.093231200798228,-2.6284093067000636,74.9524923958602,-0.08843480843428451,2.583642484335271,-51.024458138630976,0.35951934490406484,-40.94808059155183,-9.34550134656953,104
HDGE.TO,-1.7607530366133384,-1.817954737115124,14.450595737425736,-0.4026100267995974,0.1447999841887983,-6.693015677138608,0.19775374766363613,-12.397151216590641,-11.470166631565215,244
T.TO,-5.535951609881041,-5.689535456689743,18.677083145251366,-0.5187927569489511,-0.05774615348733777,-9.317801821804538,-0.06090192611463499,-15.885731270136166,-15.669189071936607,245
BCE.TO,-8.008408516002651,-8.227541817288786,23.78632721225127,-0.5140575805663234,-0.13584774360324084,-11.353038972148475,-0.11249728977026117,-18.850858398956067,-18.141645978058218,245
ADN.TO,-12.125775324150057,-12.449718007334221,13.276096900116286,-1.2390477510894138,0.26804008818717057,-18.175192523980872,0.3976915450081177,-21.777574340674768,-22.259012786205624,245
HUC.TO,-12.208643515872087,-12.534638500772498,22.519565475243756,-0.7342343491906798,0.36863882270542836,-18.90770477875653,0.3224468089996858,-20.22627509787404,-22.34188097792765,245
AAB.TO,-37.49999767169351,-38.33367968146085,194.63873777476678,-0.21749873722695834,0.3282528432250093,-44.446766271725124,0.03321974055521284,-58.333331781129004,-47.633235133749075,245
